question_id,status,audio_path,question,duration_seconds,clipped_sample_count,leading_silence_seconds,trailing_silence_seconds,warning_reasons
qz_5270,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qz_5270_248447657509.wav,What is the name of the helicopter used to transport the President of the United States,4.96,0,0.09345833333333334,0.045083333333333336,
qz_6127,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qz_6127_fbd8491e8812.wav,Who is credited with the discovery of the tomb of King Tutankhamen in 1922?,4.96,0,0.08154166666666667,0.010333333333333333,
qz_6713,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qz_6713_44f5cb025d89.wav,How many lines are there in a sonnet?,1.68,0,0.08158333333333333,0.03279166666666666,
qb_92,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qb_92_f0b6657e2be7.wav,What is the capital of Indonesia?,1.76,0,0.089625,0.033416666666666664,
qb_382,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qb_382_655911eac179.wav,Which British actress played Valerie in the 1997 film ‘Nil By Mouth’?,5.12,0,0.08883333333333333,0.06825,
qb_637,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qb_637_ca6786138e53.wav,Which famous jewellers makes the Super Bowl Trophy?,3.04,0,0.0965,0.07941666666666666,
qb_925,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qb_925_45a9618eafd9.wav,What is the name of Humphrey Bogart’s character in the film ‘Casablanca’?,4.56,0,0.084375,0.0155,
qb_1105,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qb_1105_7a70001b40f3.wav,Which part of the body are babies born without but develop from cartilaginous material that builds into bone in later life?,6.96,0,0.086625,0.052833333333333336,
qb_1147,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qb_1147_6343137d6020.wav,"In 1216, English monarch King John was said to have lost the crown jewels while crossing which body of water?",7.2,0,0.08916666666666667,0.036166666666666666,
qb_1522,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qb_1522_dcd8840a6af7.wav,How many stars are on the national flag of Liberia?,3.6,0,0.08154166666666667,0.052958333333333336,
qb_1557,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qb_1557_1b4900d0a0cc.wav,Nguyen Tan Dung became Prime Minister of which country in June 2006?,4.88,0,0.093875,0.028583333333333332,
qb_1752,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qb_1752_2fa6fbc6afdf.wav,‘Giovedi’ is the Italian word for which day of the week?,4.16,0,0.08791666666666667,0.034125,
qb_1945,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qb_1945_35d9064d94bc.wav,What is the basic monetary unit of Israel?,2.4,0,0.09116666666666666,0.050625,
qb_2456,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qb_2456_89d5b2405054.wav,"In our solar system, which is the sixth planet from the sun?",4.48,0,0.09020833333333333,0.07533333333333334,
qb_2546,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qb_2546_fa2c92cd17fa.wav,What do the interior angles of a hexagon add up to in degrees?,3.68,0,0.09129166666666666,0.03795833333333333,
qb_2712,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qb_2712_90b023321138.wav,"What is the name of the Japanese dish of bite-sized pieces of raw fish served with dipping sauces, vegetables and wasabi?",7.76,0,0.09125,0.03425,
qb_2805,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qb_2805_2ca3f9c9a059.wav,The Tumut Hydroelectric Power Station is in which Australian state?,4.16,0,0.08829166666666667,0.059833333333333336,
qb_3042,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qb_3042_dc952510d49b.wav,Which country will host the 2014 FIFA World Cup?,4.24,0,0.09791666666666667,0.016791666666666667,
qb_3092,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qb_3092_fcd0312b8b99.wav,How many months is the gestation period for an elephant?,3.04,0,0.08154166666666667,0.04325,
qb_3821,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qb_3821_ba7b3837bc93.wav,Which tennis player was dubbed ‘Superbrat’ by the British press?,3.52,0,0.09029166666666667,0.05670833333333333,
qb_4017,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qb_4017_667fe62c093c.wav,Ligustrum is the Latin name for which shrub?,2.8,0,0.09283333333333334,0.02575,
qb_4353,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qb_4353_1329f831d7d6.wav,What is the ‘lead’ in pencils made from?,2.4,0,0.08470833333333333,0.073625,
qb_4358,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qb_4358_9b015fa1914d.wav,What is the system of raised dots called which blind people use to read with their fingers?,4.8,0,0.09095833333333334,0.050833333333333335,
qb_4987,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qb_4987_a21a6ca235ee.wav,The holiday resort of Paphos is on which Mediterranean island?,3.36,0,0.08266666666666667,0.018,
qb_5408,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qb_5408_d848990ef456.wav,John Curtin became Prime Minister of which country in 1941?,4.08,0,0.091125,0.025291666666666667,
qb_5694,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qb_5694_f5f1f42e37b5.wav,Which is the most powerful chess piece?,2.16,0,0.09133333333333334,0.085875,
qb_5996,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qb_5996_b85579553817.wav,Plaka is the old quarter of which European city?,3.28,0,0.0915,0.07783333333333334,
qb_6233,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qb_6233_3f910df6f7c1.wav,What was the first name of the mother of US President Barack Obama?,3.6,0,0.08591666666666667,0.0545,
qb_6330,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qb_6330_0d91c184a761.wav,Which US singer/musician played Leather Tuscadero in the television show ‘Happy Days’?,5.52,0,0.08870833333333333,0.019416666666666665,
qb_6395,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qb_6395_fedfd7b957fd.wav,The heaviest swinging bell in England is in which cathedral?,4.0,0,0.08154166666666667,0.043541666666666666,
qb_6399,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qb_6399_2c49a830ff42.wav,"Which is the only sign of the Zodiac represented by an object, rather than a person or animal?",5.76,0,0.08970833333333333,0.05366666666666667,
qb_6647,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qb_6647_229f8a2f67e9.wav,‘Little Boy’ and ‘Fat Man’ were US codes for what during World War II?,4.72,0,0.093125,0.066125,
qb_7207,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qb_7207_02e08a115f48.wav,How many times did Actress Zsa Zsa Gabor marry?,3.92,0,0.08141666666666666,0.014208333333333333,
qb_7271,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qb_7271_681bfcbb1d9d.wav,Thomas the Tank Engine lives on which fictional island?,3.2,0,0.08158333333333333,0.005416666666666667,
qb_7331,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qb_7331_646068f1150f.wav,What colour is Lady Penelope’s car in the television puppet series ‘Thunderbirds’?,4.72,0,0.09358333333333334,0.0004166666666666667,
qb_8351,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qb_8351_4e103852f05b.wav,"In the UK television series ‘Absolutely Fabulous’, what is Edina’s surname?",5.6,0,0.09625,0.020541666666666666,
qb_8494,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qb_8494_5be56735cb2d.wav,Wrigley Field in Chicago USA is a venue for which sport?,3.6,0,0.08729166666666667,0.058416666666666665,
qb_9518,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qb_9518_e84ddc981dd1.wav,"In the children’s television series ‘Fireball XL5’, what is the name of the robot co-pilot of XL5?",6.56,0,0.08916666666666667,0.0012916666666666667,
qb_9571,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qb_9571_ab808456d209.wav,Which English city is known as ‘The Lace City’?,2.64,0,0.09533333333333334,0.022166666666666668,
qb_9584,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qb_9584_2211b5a123b6.wav,What is the name of the Lord played by Rik Mayall in the UK television series ‘Blackadder Goes Forth’?,5.92,0,0.09075,0.07595833333333334,
qb_9675,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qb_9675_10a94e87650e.wav,King Robert Baratheon and Queen Cersei Lannister are characters in which US television fantasy drama series?,6.72,0,0.097625,0.051958333333333336,
qb_10058,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/qb_10058_6a85b52f28e9.wav,What type of creature is a cichlid?,1.76,0,0.084375,0.026791666666666665,
dpql_185,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/dpql_185_31ae82dc728c.wav,Which medical condition is sometimes known as Daltonism?,4.24,0,0.08591666666666667,0.024791666666666667,
dpql_458,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/dpql_458_629bd14984e9.wav,"Pr is the symbol for which chemical element, atomic number 59?",4.96,0,0.090875,0.09683333333333333,
dpql_1274,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/dpql_1274_d9d9658fa6d9.wav,"One question, three answers. Which three cyclists have won this award? (In any order.)",4.24,0,0.084,0.044125,
dpql_1410,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/dpql_1410_9b4eddd2810c.wav,Who painted Luncheon of the Boating Party?,2.56,0,0.08154166666666667,0.026875,
dpql_1651,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/dpql_1651_6a1c62ed4015.wav,Which Italian city is known as the pizza capital of the world?,4.0,0,0.094625,0.040625,
dpql_1788,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/dpql_1788_7dba83b6a4a6.wav,"Specifically, What is the only mammal that could be described as parasitic?",4.72,0,0.08154166666666667,0.14333333333333334,
dpql_2091,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/dpql_2091_44ccffeabaf1.wav,"Had war not intervened, which city would have hosted the 1916 Olympics?",5.68,0,0.08245833333333333,0.017666666666666667,
dpql_2210,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/dpql_2210_437b0d566bd4.wav,"When David killed Goliath, how many of his five stones did he use?",3.52,0,0.08616666666666667,0.057916666666666665,
dpql_2213,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/dpql_2213_5f1725f259b8.wav,What bird did Good Queen Bess decree should be eaten at Christmas?,3.36,0,0.093625,0.049125,
dpql_2327,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/dpql_2327_7e99b334d7f2.wav,"The husband of Lara Lewington, In which field is Martin Lewis a TV expert?",4.48,0,0.084875,0.033041666666666664,
dpql_2379,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/dpql_2379_2f9625b7b351.wav,Who wrote the collection of Gothic horror stories entitled In A Glass Darkly in 1872?,6.8,0,0.08154166666666667,0.0415,
dpql_2525,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/dpql_2525_5857f7d96bd8.wav,Who gets Brer Rabbit in a terrible tangle in the stories by Joel Chandler Harris?,5.68,0,0.08245833333333333,0.06395833333333334,
dpql_2565,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/dpql_2565_a046fcf29ba1.wav,What first was opened by Margaret Sanger in Brooklyn in 1916?,4.32,0,0.09595833333333334,0.062625,
dpql_2873,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/dpql_2873_c43e16f2df25.wav,"Conventionally treated as comprising a single order, which order of mammals lay eggs?",4.96,0,0.08145833333333333,0.04616666666666667,
dpql_3054,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/dpql_3054_7d5d60074d33.wav,"In ‘Dad’s Army’, what was the surname of the air-raid warden?",3.84,0,0.08354166666666667,0.01879166666666667,
dpql_3424,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/dpql_3424_edb9a343f54a.wav,Which ex-Dr Who appeared in four Carry On films?,3.12,0,0.094625,0.07608333333333334,
dpql_3447,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/dpql_3447_b6e06e9b01c6.wav,In which film does psychopath Annie Wilkes wield a sledgehammer to horrific effect?,5.44,0,0.09345833333333334,0.04925,
dpql_4069,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/dpql_4069_c2e0254be283.wav,Which French fashion designer regularly co-hosted UK TV’s ‘Eurotrash’?,5.52,0,0.097875,0.04541666666666667,
dpql_4118,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/dpql_4118_49f5fd175ff5.wav,Who helped bring photography to the masses with his Kodak roll-film technology?,4.56,0,0.0815,0.071625,
dpql_4156,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/dpql_4156_a6e3c70fd04d.wav,"What surname connects equestrians Michael, Ellen, William, Robert and John?",4.96,0,0.09116666666666666,0.020791666666666667,
dpql_4525,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/dpql_4525_f2b29e8a2568.wav,What nickname was given to the Morris Cowley due to its appearance?,3.6,0,0.093625,0.05345833333333333,
dpql_4621,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/dpql_4621_70594b8b54b1.wav,"In June 2015, after severe flooding, which capital city saw a mass escape of zoo animals?",6.8,0,0.083,0.07029166666666667,
dpql_4816,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/dpql_4816_75c37ed63bcd.wav,In which decade did Coates compose 'The Dam Busters March'?,3.44,0,0.09654166666666666,0.04429166666666667,
dpql_4841,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/dpql_4841_ba091f6f7063.wav,Which northern Duchies were questionable until the 1860s?,4.32,0,0.097625,0.034333333333333334,
dpql_4846,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/dpql_4846_6e31118ad989.wav,'Indian Love Call' is a song from which 1924 operetta?,4.48,0,0.08379166666666667,0.04595833333333333,
dpql_4986,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/dpql_4986_255889f2ffb6.wav,Which member of the earwig family is also known as a fishmoth?,3.68,0,0.08770833333333333,0.07591666666666666,
dpql_5438,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/dpql_5438_78dc20efb782.wav,If a young person is described as a NEET what does this mean?,3.52,0,0.09275,0.016166666666666666,
dpql_5553,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/dpql_5553_926112982b5c.wav,In which county will you find Fountains abbey and Studley Water Gardens?,4.32,0,0.0935,0.07154166666666667,
dpql_6075,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/dpql_6075_b2ea48bc3b4f.wav,To whom did human-rights lawyer Amal Alamuddin become engaged in April 2014?,7.28,0,0.08129166666666666,0.09183333333333334,
dpql_6111,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/dpql_6111_d23a8050dfd2.wav,Which Jersey-born actor played Superman in Man of Steel?,3.84,0,0.08970833333333333,0.05275,
dpql_6336,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/dpql_6336_117b61f51fc4.wav,What term is used for a leap striking both heels together?,3.68,0,0.093875,0.05525,
dpql_6343,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/dpql_6343_d581cbe8237c.wav,Which heroine from a 1961 film had a cat called Cat?,5.28,0,0.097625,0.08629166666666667,
wh_517,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/wh_517_07a3de497945.wav,"Which famous composer, though better known for other works, wrote the music for several films including 'First of the Few' and 'Henry the Fifth'?",8.48,0,0.08520833333333333,0.06216666666666667,
wh_557,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/wh_557_5f3346c4a3ef.wav,"Who duetted with Syd Owen on the single Better Believe It, which was released as part of the Children in Need appeal in 1995 ?",7.6,0,0.08133333333333333,0.041291666666666664,
wh_686,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/wh_686_dc208d6041c4.wav,What is now Africa's biggest country in terms of land area after the split of Sudan?,5.44,0,0.09216666666666666,0.0665,
wh_879,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/wh_879_b68e87c4c139.wav,Aladdin Sane and Diamond Dogs were number one albums for which famous singer in the 1970's?,5.68,0,0.08833333333333333,0.0135,
wh_984,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/wh_984_bb3932963ccd.wav,The human brain is made up of between 10 billion and 100 billion nerve cells known as what?,5.84,0,0.08166666666666667,0.0925,
wh_1026,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/wh_1026_c87df5728966.wav,The Nazi regime was Germany's Third Reich; which was the first Reich?,4.72,0,0.08358333333333333,0.15854166666666666,
wh_1106,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/wh_1106_80f1aaef60a0.wav,"What name is given to the Middle Eastern dish of deep fried balls of ground chickpeas or Fava Beans, usually served in Pitta Bread?",7.84,0,0.09208333333333334,0.072125,
wh_1123,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/wh_1123_1c414fea413f.wav,what is chased down Cooper's Hill in Gloucestershire in a traditional race every Spring Bank Holiday?,5.52,0,0.09183333333333334,0.04658333333333333,
wh_1278,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/wh_1278_a3be9ebaa0cf.wav,"Although not the state capital, which is the largest city in the U.S. state of Nebraska ?",4.8,0,0.09595833333333334,0.024416666666666666,
wh_1738,success,/workspace/triviaqa_tts/triviaqa-tts/audio/qwen3_aiden_seed42/pilot/wh_1738_6a7c202af5e6.wav,"""Which famous speech of 1968 began with the words """"The supreme function of statesmanship is to provide against preventative evils""""?""",8.32,0,0.09029166666666667,0.016791666666666667,
